itemid;filespec;titleEn;description/en;creator/en;locationCreated:placename;dateCreated:start;type;format;medium;customtext:Photographer;originalSource:url;originalSource:text
Hello20;20200814_155725.jpg;Axis Mundi;"""This conceptual piece speaks to the tiered cosmos in San religious thought. Termites emerge from the mound and ascend into the heavens along the axis mundi in the form of a tree. As they ascend, they transform into therianthropic (part human, part animal) creatures. These wooden creatures are derived from San rock paintings and they are sculpted in a flattened relief, remaining faithful to the original two-dimensional artworks. 

Landscapes were meaningful and complex places for the San living in the past, as they are for those San still living today. Small, inconspicuous and even invisible features of landscape, such as shallow water pans, low rocky outcrops and termite mounds were also seen as important. These places allowed access to the spirit world. The supernatural world is described, paradoxically, as being both below ground and in the sky above. Only certain San ritual specialists, known as owners-of-energy, can enter this alternative world. Once there, they encounter strange animals, the spirits of dead friends and relatives, and, on occasion, god. In turn, certain inhabitants of the spirit realm can visit this world by emerging from the same points of entry used by ritual specialists. It is particularly during the trance dance that movement between the two worlds is facilitated.

Many of the experiences reported by San in trance may seem strange and peculiar. For example, some report that they change into animal-form during the dance. This experience of transformation is often depicted in rock art. Images of therianthropes – part human, part animal – are abundant in rock art sites throughout southern Africa. While seemingly peculiar, this type of experience is reported by people throughout the world when in a state of trance. 

Russell Scott is a South African artist who is well-known for his large-scale installations made of natural materials – usually stone and wood. """;Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello21;20200814_155741.jpg;Eland-headed snake;"""This sculpture depicts a snake (python) with the head of an antelope (eland). The sculpture weaves in and out of the wall. The sculpture is incpired by the painted rock art imagery of the southern Africna San. 

The rock surface acted as a veil between the real and spirit worlds and that the images entering or exiting natural features in the rock surface were actually entering or exiting the spirit world. Cracks and crevices of rock surfaces (as well as waterholes and termite mounds) linked the spirit world to the real world. Many rock paintings and engravings incorporate natural features of the rock surface, with some painted images appearing to enter or exit cracks, crevices or steps in the rock surface. 

The argument was supported by the testimony of Manqindi Dyantyi, an old woman living in the former Transkei territory, whose father was the last San painter. She described how the San used to touch the paintings during dances to harness the supernatural energy within them.

Supernatural potency is called n|om by the Kalahari Ju|’hoansi, and !gi by the |Xam of the Karoo and has been described as being like an electrical current. Certain animals associated with water, fertility, blood, fat, and transformation are particularly potent. These animals include the eland, termites, snakes, and bees. Inanimate objects like plants, and intangibles like dances and songs are also a source of potency.

""";Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello22;Origins Centre The spirit world. Russel Scott.JPG;Axis Mundi;"""This conceptual piece speaks to the tiered cosmos in San religious thought. Termites emerge from the mound and ascend into the heavens along the axis mundi in the form of a tree. As they ascend, they transform into therianthropic (part human, part animal) creatures. These wooden creatures are derived from San rock paintings and they are sculpted in a flattened relief, remaining faithful to the original two-dimensional artworks. 

Landscapes were meaningful and complex places for the San living in the past, as they are for those San still living today. Small, inconspicuous and even invisible features of landscape, such as shallow water pans, low rocky outcrops and termite mounds were also seen as important. These places allowed access to the spirit world. The supernatural world is described, paradoxically, as being both below ground and in the sky above. Only certain San ritual specialists, known as owners-of-energy, can enter this alternative world. Once there, they encounter strange animals, the spirits of dead friends and relatives, and, on occasion, god. In turn, certain inhabitants of the spirit realm can visit this world by emerging from the same points of entry used by ritual specialists. It is particularly during the trance dance that movement between the two worlds is facilitated.

Many of the experiences reported by San in trance may seem strange and peculiar. For example, some report that they change into animal-form during the dance. This experience of transformation is often depicted in rock art. Images of therianthropes – part human, part animal – are abundant in rock art sites throughout southern Africa. While seemingly peculiar, this type of experience is reported by people throughout the world when in a state of trance. 

Russell Scott is a South African artist who is well-known for his large-scale installations made of natural materials – usually stone and wood. """;Russell Scott;South Africa;2005;Sculpture;Sculpture;Wood and iron;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello23;OriginsCentre Entrance.JPG;World Map;"""This world map is hand-woven with aluminium wire. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello24;Origins Centre Welcome to Africa. WalerOltman.jpg;World Map;"""This world map is hand-woven with aluminium wire. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello25;Origins Centre (5).jpg;World Map;"""This world map is hand-woven with aluminium wire. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello26;20190926_113730_HDR.jpg;World Map;"""This world map is hand-woven with aluminium wire. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello27;20190926_113656.jpg;World Map;"""Close-up of Walter Oltmann's aluminium wire, hand-woven sculpture. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello28;20190926_113609_HDR.jpg;World Map;"""Close-up of Walter Oltmann's aluminium wire, hand-woven sculpture. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello29;20190926_113617_HDR.jpg;World Map;"""Close-up of Walter Oltmann's aluminium wire, hand-woven sculpture. 
Africa is at the centre of the map and copper wires radiate from the southern part indicating the movement of humankind from Africa to all areas of the world.The work is an artistic impression of Mercator’s projection of the earth (The Mercator projection is a cylindrical map projection presented by the Flemish geographer and cartographer Gerardus Mercator in 1569; it became the standard map projection for navigation because of its unique property of representing any course of constant bearing as a straight segment). 
Oltmann is well-known for his work with wire, particularly his creation of insect and animal forms. While it is a widespread media employed in South Africa today, Walter brings a new technique to working with wire; he knits the strands together""";Walter Oltmann;South Africa;2005;Sculpture;Sculpture;Aluminium (aluminum) wire and copper;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello30;20191024_174255_Burst11.jpg;One Being;"""Multiple plate colour etching. Printed as monotype. """;Deborah Glencross;South Africa;2005;Colour etching print;Colour etching print;Print;;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
Hello31;Origins Centre rock art.jpg;Copy of Sebaaieni Cave, Ndedema Gorge;"""Reprint of Harold Pager's meticulous copy of San painted rock art in Sebaaieni Cave, Ndedema Gorge, Drakensberg, South Africa.

In the 1960s Pager repainted images on life size black and white photographs of the shelters of the Ndedema Gorge. 

The human figures have karosses on their backs, quivers, bows and arrows, but if you look closely the human figures have antelope heads. Based on San mythology, the anthropomorphic figures are interpreted as mythological beings of Shaman (medicine men) who are entering the spirit world in animal form. """;Harold Pager;South Africa;1960;Print;Print;Vinyl;Neil Kirby;https://www.wits.ac.za/origins/;Rock Art Research Institute
Hello32;IMG_6502.JPG;Copy of Sebaaieni Cave, Ndedema Gorge;"""Reprint of Harold Pager's meticulous copy of San painted rock art in Sebaaieni Cave, Ndedema Gorge, Drakensberg, South Africa.

In the 1960s Pager repainted images on life size black and white photographs of the shelters of the Ndedema Gorge. 

The human figures have karosses on their backs, quivers, bows and arrows, but if you look closely the human figures have antelope heads. Based on San mythology, the anthropomorphic figures are interpreted as mythological beings of Shaman (medicine men) who are entering the spirit world in animal form. """;Harold Pager;South Africa;1960;Print;Print;Vinyl;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Rock Art Research Institute
Hello33;IMG_6507.JPG;Copy of Sebaaieni Cave, Ndedema Gorge;"""Reprint of Harold Pager's meticulous copy of San painted rock art in Sebaaieni Cave, Ndedema Gorge, Drakensberg, South Africa.

In the 1960s Pager repainted images on life size black and white photographs of the shelters of the Ndedema Gorge. 

The human figures have karosses on their backs, quivers, bows and arrows, but if you look closely the human figures have antelope heads. Based on San mythology, the anthropomorphic figures are interpreted as mythological beings of Shaman (medicine men) who are entering the spirit world in animal form. """;Harold Pager;South Africa;1960;Print;Print;Vinyl;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Rock Art Research Institute
Hello34;IMG_6510.JPG;Copy of Sebaaieni Cave, Ndedema Gorge;"""Reprint of Harold Pager's meticulous copy of San painted rock art in Sebaaieni Cave, Ndedema Gorge, Drakensberg, South Africa.

In the 1960s Pager repainted images on life size black and white photographs of the shelters of the Ndedema Gorge. 

Close up of eland figure. Based on San mythology, the anthropomorphic figures are interpreted as mythological beings of Shaman (medicine men) who are entering the spirit world in animal form. """;Harold Pager;South Africa;1960;Print;Print;Vinyl;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Rock Art Research Institute
Hello35;20190521_154453_HDR.jpg;"Replica Engraved floor from Driekopseiland, west of Kimberley, Northern Cape, South Africa. 

";"""These engravings have long been considered mysterious. Recent research (for example, by David Morris) has focused on the site’s physical setting (rather than on focusing solely on the images themselves) - a glacial pavement in the bed of the seasonal Riet River - and in terms of beliefs and practices of indigenous Khoe-San people. In the 1950s it was reported that an angered snake could swell up and prevent a river from flowing. At Driekopseiland the glacially smoothed basement rock, aligned with the flow of the river, ‘bulges’ or ‘dips’, almost like a giant snake, above or below the water according to the season. 

Amongst the stories in the Bleek-Lloyd archive, told by |Xam San from the Karoo in the 1870s-80s, pools or rivers and rain are frequently relates to the coming-of-age rites of young women and to the powerful, mythical, Watersnake called !Khwa, or the rain animal !Khwa-ka-goro. In |Xam beliefs, the rain was an animal – a rain bull – which walked on rain’s legs, leaving rain’s footprints. The male rain could be angry with lightning and thunder, potentially harmful to people, while the female rain was gentle, to soak the veld and sustain plant foods. Treating the rain animal ‘nicely’ was essential; failure to observe certain taboos could result in a young girl being ‘taken’ underwater – or turned into stars, or frogs. The beliefs and taboos, linked closely with girls and women, feature strongly in relation to puberty rites. 

A |Xam girl (a “new maiden” in the Bleek-Lloyd stories), at that transitional stage in her life, was called “The Rain’s Magic Power” because of the way her demeanour (behaving ‘nicely’ – or not) could influence the reactions of the rain animal or snake. At the end of a period of seclusion, initiates were ritually cleansed, given new clothing, beads, and ornaments, and had patterns painted (or other markings made) on her face/head/body. There followed a traditional dance in which she was guided by older women to the water source or river. There, rites took place including offerings to !Khwa (the water, synonymous with the snake), to appease or ‘tame’ the Watersnake. 

The research at Driekopseiland suggests that the site may have been a powerful ritual place where these (or comparable) rituals were practised, and that possibly the images on rock may relate to those made on the faces or bodies of young women, those known in the |Xam context as “The Rain’s Magic Power”.""";Unknown;South Africa;2005;Engraving;Engraving;Unknown;Tammy Hodgskiss;https://www.wits.ac.za/origins/;Origins Centre, University of the Witwatersrand
